epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.009674,0.005358,-1.760341,-2.254672,0.936154,26.943627
2,0.000659,0.005145,0.002779,-0.140703,-0.698939,0.998647,27.917319
3,0.000993,0.002938,0.002445,-0.500968,-0.816594,1.004173,27.211308
4,0.000999,0.002475,0.002111,0.258815,0.065402,0.996561,28.054080
5,0.000997,0.002330,0.002070,-0.255976,-0.451736,1.011776,27.993193
6,0.000993,0.001942,0.001833,0.753544,0.529555,0.984145,27.265239
7,0.000988,0.002034,0.002273,0.345154,0.038514,1.016124,27.709620
8,0.000981,0.001673,0.001576,1.906441,1.696987,1.000658,27.712653
9,0.000973,0.001800,0.001688,1.190341,0.938447,1.019538,28.459542
10,0.000963,0.001693,0.001792,0.895662,0.647307,1.020431,28.146303
11,0.000952,0.001764,0.002002,0.351285,-0.039779,1.037274,28.780116
12,0.000940,0.001852,0.001794,0.938025,0.717711,1.019308,27.721851
13,0.000926,0.001615,0.001621,1.203807,1.016929,1.002183,27.985176
14,0.000911,0.001526,0.001532,1.652379,1.488492,1.008610,27.768594
15,0.000895,0.001582,0.001415,1.795322,1.629449,0.998504,28.277750
16,0.000877,0.001490,0.002003,0.455581,0.039347,1.039432,27.690986
17,0.000859,0.001533,0.001475,1.719546,1.561554,1.006234,28.359772
18,0.000839,0.001454,0.001627,1.083378,0.920384,1.016620,28.054666
19,0.000818,0.001553,0.001854,0.377258,0.158130,1.027709,27.724687
20,0.000797,0.001404,0.001501,2.031398,1.837320,1.017248,28.571916
21,0.000774,0.001387,0.001900,0.680382,0.503089,1.013427,28.214992
22,0.000751,0.001314,0.001506,1.744723,1.595853,1.008981,27.735498
23,0.000726,0.001205,0.001440,1.922240,1.771072,1.008361,28.440992
24,0.000701,0.001320,0.001436,1.642219,1.455107,1.001105,28.196218
25,0.000676,0.001352,0.001466,1.864608,1.598606,1.019275,28.664697
26,0.000650,0.001331,0.001477,1.831903,1.620549,1.019019,28.047804
27,0.000623,0.001209,0.001899,0.338567,0.136873,1.025705,28.389563
28,0.000596,0.001355,0.001532,1.657318,1.500273,1.007940,27.891456
29,0.000569,0.001288,0.001298,2.277311,2.097427,1.008796,28.104572
30,0.000542,0.001255,0.001256,2.661396,2.481294,1.004491,27.863225
31,0.000514,0.001199,0.001644,1.134063,0.787377,1.029922,27.759813
32,0.000487,0.001151,0.001885,0.700628,0.510454,1.020463,26.690920
33,0.000459,0.001183,0.001381,1.946916,1.712417,1.015395,27.135105
34,0.000432,0.001125,0.001359,1.951386,1.785091,1.006887,27.728106
35,0.000405,0.001232,0.001343,2.233750,1.967906,1.018885,28.331451
36,0.000378,0.001165,0.001530,1.465743,1.228166,1.023654,28.079757
37,0.000351,0.001138,0.001605,1.109969,0.939484,1.017084,28.391296
38,0.000325,0.001167,0.001653,1.538765,1.296679,1.025962,28.443935
39,0.000300,0.001167,0.001550,1.262394,1.072716,1.018367,29.007231
40,0.000275,0.001081,0.001367,2.076784,1.845376,1.019746,28.162340
41,0.000251,0.001088,0.001459,1.598686,1.323427,1.023117,26.948165
42,0.000227,0.001119,0.001409,1.906406,1.668505,1.020247,27.948155
