epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000325,0.027071,0.024420,0.965652,0.407295,0.907811,47.012210
2,0.000658,0.019625,0.016584,1.854764,1.584210,0.957063,48.851750
3,0.000992,0.014429,0.012131,4.195136,3.872295,0.987230,50.681499
4,0.000999,0.011706,0.010227,5.256189,5.161594,0.988207,48.501153
5,0.000997,0.009994,0.009738,5.181008,5.028975,0.998628,46.651094
6,0.000993,0.008828,0.008860,5.855150,5.756422,0.998246,48.257448
7,0.000988,0.008596,0.009587,5.396015,5.318980,0.996910,48.271985
8,0.000981,0.008198,0.007816,6.909755,6.820039,0.994094,47.711268
9,0.000973,0.007774,0.008871,6.041603,5.878022,0.986455,47.367230
10,0.000964,0.007782,0.007591,7.143076,7.015575,0.999237,47.486049
11,0.000952,0.007449,0.007118,7.481254,7.396261,0.994629,47.216641
12,0.000940,0.006710,0.007623,7.008960,6.824792,1.005079,47.322969
13,0.000926,0.006619,0.009334,5.782715,5.654232,1.008237,46.229986
14,0.000911,0.006370,0.007405,7.235991,7.143841,0.999373,48.601131
15,0.000895,0.006733,0.007469,7.211971,7.103091,1.004524,46.991402
16,0.000878,0.006211,0.006894,7.858002,7.730449,0.997432,46.439266
17,0.000859,0.006478,0.007093,7.823257,7.688216,0.991254,47.497446
18,0.000839,0.006273,0.008133,7.019498,6.800635,1.006060,49.043420
19,0.000818,0.005730,0.007952,6.696924,6.532257,1.007859,47.080827
20,0.000797,0.005711,0.008636,6.535002,6.376276,1.007550,47.195612
21,0.000774,0.005692,0.008419,6.363128,6.093895,1.013798,46.782300
22,0.000751,0.005561,0.008805,6.134361,5.925425,1.012420,50.955220
23,0.000726,0.005233,0.008354,6.156366,6.042819,1.005289,48.772486
24,0.000701,0.005097,0.008082,6.605618,6.429281,1.009954,48.358033
25,0.000676,0.005027,0.008171,6.610804,6.505183,1.004307,50.139899
26,0.000650,0.004997,0.009893,5.453335,5.290780,1.012992,47.711495
27,0.000623,0.004947,0.009720,5.402155,5.276408,1.009614,46.615805
28,0.000597,0.004898,0.009274,6.067407,5.892978,1.013515,45.715471
